title,date,span,location,disease,toll
Influenza epidemic,-1200,1200-1200 BC,Babylon; or Babirus of the  Persians; Central Asia; Mesopotamia and Southern Asia,Indian Sanskrit scholars found records of a disease resembling the Flu,0
Plague of Athens,-429,429-426 BC,Greece; Libya; Egypt; Ethiopia,Unknown; possibly typhus; typhoid fever or viral hemorrhagic fever,87500
412 BC epidemic,-412,412-412 BC,Greece (Northern Greece; Roman Republic),Unknown; possibly influenza,0
Antonine Plague,0165,165-180,Roman Empire,Unknown; possibly smallpox,7500000
Plague of Cyprian,0250,250-266,Europe,Unknown; possibly smallpox,1000001
Plague of Justinian,0541,541-542,Europe and West Asia,Bubonic plague (beginning of First plague pandemic),25000000
Roman Plague of 590,0590,590-590,Rome; Byzantine Empire,Bubonic plague (part of First plague pandemic),0
Plague of Sheroe,0627,627-628,Mesopotamia,Bubonic plague (part of First plague pandemic),0
Plague of 664,0664,664-689,British Isles,Bubonic plague (part of First plague pandemic),0
Plague of 698-701,0746,698-701,Byzantine Empire; West Asia; Syria; Mesopotamia,Bubonic plague (part of First plague pandemic),0
735-737 Japanese smallpox epidemic,0735,735-737,Japan,Smallpox,2000000
Plague of 746-747,0746,746-747,Byzantine Empire; West Asia; Africa,Bubonic plague (part of First plague pandemic),0
Black Death,,1346-1353,Europe; Asia and North Africa,Bubonic plague  Yersinia pestis bacterium,75000000
Sweating sickness,,1485-1551,Britain (England) and later continental Europe,Unknown; possibly an unknown species of hantavirus,10001
1489 Spain typhus epidemic,,1489-1489,Spain,Typhus,17000
1510 influenza pandemic,,1510-1510,Asia; North Africa; Europe,Influenza,0
History of smallpox in Mexico,,1519-1520,Mexico,Smallpox,6500000
Cocoliztli Epidemic of 1545-1548,,1545-1548,Mexico,Possibly Salmonella enterica,10000000
1561 Chile smallpox epidemic,,1561-1562,Chile,Smallpox,0
1563 London plague,,1563-1564,London; England,Bubonic plague,20101
Cocoliztli epidemic of 1576,,1576-1580,Mexico,Possibly Salmonella enterica,2250000
1582 Tenerife plague epidemic,,1582-1583,Tenerife; Spain,Bubonic plague,7000
1592-1596 Seneca nation measles epidemic,,1592-1596,Seneca nation; United States and Canada,Measles,0
1592-93 Malta plague epidemic,,1592-1593,Malta,Bubonic plague,3000
1592-93 London plague,,1592-1593,London; England,Bubonic plague,19901
1596-1602 Spain plague epidemic,,1596-1602,Spain,Bubonic plague,650000
1600-1650 South America malaria epidemic,,1600-1650,South America,Malaria,0
1603 London plague epidemic,,1603-1603,London; England,Bubonic plague,40000
1609 Egyptian plague epidemic,,1609-1609,Egypt,Bubonic plague,1000000
1616 New England infections epidemic,,1616-1620,Southern New England; United States; especially the Wampanoag people,Unknown; possibly leptospirosis with Weil syndrome. Classic explanations include yellow fever; bubonic plague; influenza; smallpox; chickenpox; typhus; and syndemic infection of hepatitis B and hepatitis D,0
1629-1631 Italian plague,,1629-1631,Italy,Bubonic plague,280000
1632-1635 Augsburg plague epidemic,,1632-1635,Augsburg; Germany,Bubonic plague,13712
Massachusetts smallpox epidemic,,1633-1634,Massachusetts Bay Colony; United States,Smallpox,1000
1634-1640 Wyandot people epidemic of infections,,1634-1640,Wyandot people; United States and Canada,Smallpox and Influenza,20000
1637 London plague epidemic,,1636-1637,London and Westminster; England,Bubonic plague,10400
1641-1644 China plague epidemic,,1641-1644,China,Bubonic plague,0
Great Plague of Seville,,1647-1652,Spain,Bubonic plague,500000
1648 Central America yellow fever epidemic,,1648-1648,Central America,Yellow fever,0
Naples Plague,,1656-1656,Italy,Bubonic plague,1250000
1663-1664 Amsterdam plague epidemic,,1663-1664,Amsterdam; Netherlands,Bubonic plague,24148
Great Plague of London,,1665-1666,England,Bubonic plague,100000
1668 France plague,,1668-1668,France,Bubonic plague,40000
1675-76 Malta plague epidemic,,1675-1676,Malta,Bubonic plague,11300
1676-1685 Spain plague,,1676-1685,Spain,Bubonic plague,0
1677-1678 Boston smallpox epidemic,,1677-1678,Massachusetts Bay Colony; United States,Smallpox,875
Great Plague of Vienna,,1679-1679,Vienna; Austria,Bubonic plague,76000
1681 Prague plague epidemic,,1681-1681,Prague; Czech Republic,Bubonic plague,83000
1687 South Africa Influenza outbreak,,1687-1687,South Africa,Unknown; possibly Influenza,0
1693 Boston yellow fever epidemic,,1693-1693,Boston; United States,Yellow fever,3100
1699 Charleston and Philadelphia yellow fever epidemic,,1699-1699,Charleston and Philadelphia; United States,Yellow fever,520
1702 New York City yellow fever epidemic,,1702-1702,New York City; United States,Yellow fever,500
1702-1703 St. Lawrence Valley smallpox epidemic,,1702-1703,New France; Canada,Smallpox,1300
1707-1709 Iceland smallpox epidemic,,1707-1709,Iceland,Smallpox,18001
Great Northern War plague outbreak,,1710-1712,Denmark; Sweden; Lithuania,Bubonic plague,164000
1713-1715 North America measles epidemic,,1713-1715,Thirteen Colonies and New France; Canada,Measles,0
Great Plague of Marseille,,1720-1722,France,Bubonic plague,100001
1721 Boston smallpox outbreak,,1721-1722,Massachusetts Bay Colony,Smallpox,844
1730 Cádiz yellow fever epidemic,,1730-1730,Cádiz; Spain,Yellow fever,2200
1732-1733 Thirteen Colonies influenza epidemic,,1732-1733,Thirteen Colonies,Influenza,0
1733 New France smallpox epidemic,,1733-1733,New France; Canada,Smallpox,0
1735-1741 Diphtheria epidemic,,1735-1741,New England; New York; New Jersey; United States,Diphtheria,20000
Great Plague of 1738,,1738-1738,Balkans,Bubonic plague,50000
1738-1739 North Carolina smallpox epidemic,,1738-1739,North Carolina; United States,Smallpox,10000
1739-1740 Thirteen Colonies measles epidemic,,1739-1740,Thirteen Colonies,Measles,0
1741 Cartagena yellow fever epidemic,,1741-1741,Cartagena; Colombia,Yellow fever,20000
1743 Sicily plague epidemic,,1743-1743,Messina; Sicily; Italy,Bubonic plague,45000
1747 Thirteen Colonies measles outbreak,,1747,Thirteen Colonies,Measles,0
1759 	North America measles outbreak,,1759,North America,Measles,0
1760 Charleston smallpox epidemic,,1760,Charleston; United States,Smallpox,800
1761 North America and West Indies influenza epidemic,,1761,North America; West Indies,Influenza,0
1762 Havana yellow fever epidemic,,1762,Havana; Cuba,Yellow fever,8000
1763 Pittsburgh area smallpox outbreak,,1763,North America; present-day Pittsburgh area,Smallpox,0
Russian plague of 1770-1772,,1770-1772,Russia,Bubonic plague,50000
1772 North America measles epidemic,,1772,North America,Measles,0
1772-1773 Persian Plague,1772,1772-1773,Persia,Bubonic plague,2000001
1775-1776 England influenza outbreak,,1775-1776,England,Influenza,0
1775-1782 North American smallpox epidemic,,1775-1782,Pacific Northwest; United States,Smallpox,11000
1778 Spain dengue fever outbreak,,1778,Spain,Dengue fever,0
1788 Pueblo Indians smallpox epidemic,,1788,Pueblo Indians; Southwestern United States,Smallpox,0
1788 United States measles epidemic,,1788,United States,Measles,0
1789-1790 New South Wales smallpox epidemic,,1789-1790,New South Wales; Australia,Smallpox,0
1793 United States influenza and typhus epidemic,,1793,United States,Influenza and epidemic typhus,0
1793 Philadelphia yellow fever epidemic,,1793,Philadelphia; United States,Yellow fever,5000
1800-1803 Spain yellow fever epidemic,,1800-1803,Spain,Yellow fever,60001
1801 Ottoman Empire and Egypt bubonic plague epidemic,,1801,Ottoman Empire; Egypt,Bubonic plague,0
1802-1803 Saint-Domingue yellow fever epidemic,,1802-1803,Saint-Domingue,Yellow fever,42000
1812 Egypt bubonic plague epidemic,,1812,Egypt,Bubonic plague,0
1812 Russia Typhus epidemic,,1812,Russia,Typhus,300000
1812-19 Ottoman plague epidemic,,1812-1819,Ottoman Empire,Bubonic plague,300001
1813-14 Malta plague epidemic,,1813-1814,Malta,Bubonic plague,4500
Caragea's plague,,1813,Romania,Bubonic plague,60000
1817-1819 Ireland typhus epidemic,,1817-1819,Ireland,Typhus,65000
First cholera pandemic,,1817-1824,Asia; Europe,Cholera,100001
1820 Savannah yellow fever epidemic,,1820,Savannah; Georgia; United States,Yellow fever,700
1821 Barcelona yellow fever epidemic,,1821,Barcelona; Spain,Yellow fever,12500
Second cholera pandemic,,1826-1837,Asia; Europe; North America,Cholera,100001
1828-1829 New South Wales smallpox epidemic,,1828-1829,New South Wales; Australia,Smallpox,19000
Groningen epidemic,,1829,Netherlands,Malaria,2800
1829-1833 Pacific Northwest malaria epidemic,,1829-1833,Pacific Northwest; United States,Malaria; possibly other diseases too,150000
1829-1835 Iran plague outbreak,,1829-1835,Iran,Bubonic plague,0
1831-1834 Plains Indians smallpox epidemic,,1831-1834,Plains Indians,Smallpox,0
1834-1836 Egypt plague epidemic,,1834-1836,Egypt,Bubonic plague,0
1837 Great Plains smallpox epidemic,,1837-1838,Great Plains; United States and Canada,Smallpox,17001
1840 South Africa smallpox epidemic,,1840,South Africa,Smallpox,0
1841 Southern United States yellow fever epidemic,,1841,Southern United States (especially Louisiana and Florida),Yellow fever,3498
1847 North American typhus epidemic,,1847-1848,Canada,Typhus,20001
1847 Southern United States yellow fever epidemic,,1847,Southern United States (especially New Orleans),Yellow fever,3400
1847-1848 influenza epidemic,,1847-1848,Worldwide,Influenza,0
1848-1849 Hawaii epidemic of infections,,1848-1849,Hawaiian Kingdom,Measles; whooping cough; dysentery and influenza,10000
1850-1851 North America influenza epidemic,,1850-1851,North America,Influenza,0
1853 New Orleans yellow fever epidemic,,1853,New Orleans; United States,Yellow fever,7970
Third cholera pandemic,,1846-1860,Russia,Cholera,1000001
1853 Ottoman Empire plague epidemic,,1853,Ottoman Empire,Bubonic plague,0
1853 Copenhagen cholera outbreak,,1853,Copenhagen; Denmark,Cholera,4737
1854 Broad Street cholera outbreak,,1854,London; England,Cholera,616
1855 Norfolk yellow fever epidemic,,1855,Norfolk and Portsmouth; England,Yellow fever,3000
Third plague pandemic,,1855-1960,Worldwide,Bubonic plague,12000010
1857 Lisbon yellow fever epidemic,,1857,Lisbon; Portugal,Yellow fever,6000
1857 Victoria	smallpox epidemic,,1857,Victoria; Australia,Smallpox,0
1857-1859 Europe and the Americas influenza epidemic,,1857-1859,Europe; North America; South America,Influenza,0
1862-1863 British Columbia Smallpox epidemic,,1862-1863,British Columbia; Canada,Smallpox,32000
1861-1865 United States typhoid fever epidemic,,1861-1865,United States,Typhoid fever,80000
Fourth cholera pandemic,,1863-1875,Middle East,Cholera,600000
1867 Sydney measles epidemic,,1867,Sydney; Australia,Measles,748
Yellow fever in Buenos Aires,,1871,Buenos Aires; Argentina,Yellow fever,19850
1870-1875 Europe smallpox epidemic,,1870-1875,Europe,Smallpox,500000
1875 Fiji measles outbreak,,1875,Fiji,Measles,40000
1875-1876 Australia scarlet fever epidemic,,1875-1876,Australia,Scarlet fever,8000
1876 Ottoman Empire plague epidemic,,1876,Ottoman Empire,Bubonic plague,20000
1878 New Orleans yellow fever epidemic,,1878,New Orleans; United States,Yellow fever,4046
1878 Mississippi Valley yellow fever epidemic,,1878,Mississippi Valley; United States,Yellow fever,13000
Fifth cholera pandemic,,1881-1896,Asia; Africa; Europe; South America,Cholera,298600
1885 Montreal smallpox epidemic,,1885,Montreal; Canada,Smallpox,3164
1889-1890 flu pandemic,,1889-1890,Worldwide,Influenza,1000000
Bombay plague epidemic,,1896-1905,Bombay; India,Bubonic plague,20788
1896-1906 Congo Basin African trypanosomiasis epidemic,,1896-1906,Congo Basin,African trypanosomiasis,500000
1899 Porto plague outbreak,,1899,Porto; Portugal,Bubonic plague,132
Sixth cholera pandemic,,1899-1923,Europe; Asia; Africa,Cholera,800001
San Francisco plague of 1900-1904,,1900-1904,San Francisco; United States,Bubonic plague,119
1900-1920 Uganda African trypanosomiasis epidemic,,1900-1920,Uganda,African trypanosomiasis,250000
1903 India plague epidemic,,1903,India,Bubonic Plague,22
1903 Fremantle plague epidemic,,1903,Fremantle,Bubonic plague,4
Manchurian plague,,1910-1911,China,Pneumonic plague,60000
1910 China plague,,1910-1912,China,Bubonic plague,40000
1915 Encephalitis lethargica pandemic,,1915-1926,Worldwide,Encephalitis lethargica,1500000
1916 United States polio epidemic,,1916,United States,Poliomyelitis,7130
1918 flu pandemic,,1918-1920,Worldwide,Influenza A virus subtype H1N1  Spanish flu virus,50000000
1918-1922 Russia typhus epidemic,,1918-1922,Russia,Typhus,2500000
1924 Los Angeles pneumonic plague outbreak,,1924,Los Angeles; United States,Pneumonic plague,30
1924-1925 Minnesota smallpox epidemic,,1924-1925,Minnesota; United States,Smallpox,500
1927 Montreal typhoid fever epidemic,,1927,Montreal; Canada,Typhoid fever,538
1929-1930 Psittacosis Pandemic,,1929-1930,Worldwide,Psittacosis,100
Croydon typhoid outbreak of 1937,,1937,Croydon; United Kingdom,Typhoid fever,43
1940 Sudan yellow fever epidemic,,1940,Sudan,Yellow fever,1627
1942-1944 Egypt malaria epidemic,,1942-1944,Egypt,Malaria,0
1946 China plague epidemic,,1946,China,Bubonic plague,0
1946 Egypt relapsing fever epidemic,,1946,Egypt,Relapsing fever,0
1947 Egypt cholera epidemic,,1947,Egypt,Cholera,10277
1948-1952 United States polio epidemic,,1948-1952,United States,Poliomyelitis,9000
1957-1958 influenza pandemic,,1957-1958,Worldwide,Influenza A virus subtype H2N2,2500000
1960-1962 Ethiopia yellow fever epidemic,,1960-1962,Ethiopia,Yellow fever,30000
Seventh cholera pandemic,,1961-1975,Worldwide,Cholera (El Tor strain),0
1877-1977 Worldwide smallpox epidemic,,1877-1977,Worldwide,Smallpox,500000000
Hong Kong flu,,1968-1970,Worldwide,Influenza A virus subtype H3N2  H3N2 virus,2500000
1971 Staphorst polio epidemic,,1971,Staphorst; Netherlands,Poliomyelitis,5
1972 Yugoslav smallpox outbreak,,1972,Yugoslavia,Smallpox,35
London flu,,1972-1973,United States,Influenza A virus subtype H3N2,1027
1973 Italy Cholera El Tor epidemic,,1973,Italy,Cholera (El Tor strain),24
1974 smallpox epidemic of India,,1974,India,Smallpox,15000
HIV/AIDS pandemic,,1981-present (data as of 2018[update]),Worldwide,HIV/AIDS,32000001
1984 Western Sahara plague,,1984,Western Sahara,Bubonic plague,64
1986 Oju yellow fever epidemic,,1986,Oju; Nigeria,Yellow fever,5600
1987 Mali yellow fever epidemic,,1987,Mali,Yellow fever,145
1991 Bangladesh cholera epidemic,,1991,Bangladesh,Cholera,8921
1994 plague in India,,1994,India,Bubonic plague and Pneumonic plague,56
United Kingdom BSE outbreak,,1996-2001,United Kingdom,vCJD,178
1996 West Africa meningitus epidemic,,1996,West Africa,Meningitis,10000
1998-99 Malaysia Nipah virus outbreak,,1998-1999,Malaysia,Nipah virus infection,105
2000 Central America dengue epidemic,,2000,Central America,Dengue fever,40
2001 Nigeria cholera epidemic,,2001,Nigeria,Cholera,401
2001 South Africa cholera epidemic,,2001,South Africa,Cholera,139
2002-04 SARS outbreak,,2002-2004,Worldwide,Severe acute respiratory syndrome (SARS),774
2003 Algeria plague outbreak,,2003,Algeria,Bubonic plague,1
